Year,Units,Sustainably managed status,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2016,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.018587318000000002
2017,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,-0.091533165
2017,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.068447867
2018,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,-1.3920434080000001
2018,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.031432367
2019,Growth rate (%),Certified,England,Percentage (%),Units,Undefined,E92000001,-2.186734978
2019,Growth rate (%),,England,Percentage (%),Units,Undefined,E92000001,0.108872339
2005,Growth rate (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,3.6221966610000003
2005,Growth rate (%),,Wales,Percentage (%),Units,Undefined,W92000004,0.17135262199999998
2006,Growth rate (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,-0.082962124
