Year,Units,Size of particulate matter,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015,Particulate matter (PM),PM 10,Wigan,Undefined,Units,microgram/m3,E08000010,16
2015,Particulate matter (PM),,Wigan,Undefined,Units,microgram/m3,E08000010,11
2008,Particulate matter (PM),PM 10,Wirral,Undefined,Units,microgram/m3,E08000015,13.908
2011,Particulate matter (PM),,Wirral,Undefined,Units,microgram/m3,E08000015,10.093
2013,Particulate matter (PM),,Wrexham,Undefined,Units,microgram/m3,W06000006,10.39239766
2016,Particulate matter (PM),PM 10,Wrexham,Undefined,Units,microgram/m3,W06000006,12
2016,Particulate matter (PM),,Wrexham,Undefined,Units,microgram/m3,W06000006,8
2008,Particulate matter (PM),PM 10,York,Undefined,Units,microgram/m3,E06000014,21.1325
2011,Particulate matter (PM),PM 10,York,Undefined,Units,microgram/m3,E06000014,18.046
2011,Particulate matter (PM),,York,Undefined,Units,microgram/m3,E06000014,12.75079219
2013,Particulate matter (PM),,York,Undefined,Units,microgram/m3,E06000014,12.37950132
2016,Particulate matter (PM),PM 10,York,Undefined,Units,microgram/m3,E06000014,16
2016,Particulate matter (PM),,York,Undefined,Units,microgram/m3,E06000014,11
2008,Particulate matter (PM),PM 10,,Undefined,Units,microgram/m3,,23.42292083
2011,Particulate matter (PM),PM 10,,Undefined,Units,microgram/m3,,20.76593781
2014,Particulate matter (PM),,,Undefined,Units,microgram/m3,,12.4
2016,Particulate matter (PM),,,Undefined,Units,microgram/m3,,10.5
